x            y_obs        weight       y_calc       y_bkg        
14.2         46.0         0.02174      45.46        45.46        
14.22        56.0         0.01786      45.372       45.372       
14.24        40.0         0.025        45.284       45.284       
14.26        47.0         0.02128      45.196       45.196       
14.28        44.0         0.02273      45.109       45.109       
14.3         50.0         0.02         45.022       45.022       
14.32        42.0         0.02381      44.935       44.935       
14.34        49.0         0.02041      44.848       44.848       
14.36        49.0         0.02041      44.762       44.762       
14.38        53.0         0.01887      44.676       44.676       
14.4         47.0         0.02128      44.59        44.59        
14.42        38.0         0.02632      44.504       44.504       
14.44        37.0         0.02703      44.419       44.419       
14.46        36.0         0.02778      44.334       44.334       
14.48        56.0         0.01786      44.249       44.249       
14.5         46.0         0.02174      44.165       44.165       
14.52        39.0         0.02564      44.081       44.081       
14.54        50.0         0.02         43.997       43.997       
14.56        47.0         0.02128      43.913       43.913       
14.58        42.0         0.02381      43.83        43.83        
14.6         38.0         0.02632      43.747       43.747       
14.62        51.0         0.01961      43.664       43.664       
14.64        39.0         0.02564      43.581       43.581       
14.66        39.0         0.02564      43.499       43.499       
14.68        33.0         0.0303       43.417       43.417       
14.7         47.0         0.02128      43.335       43.335       
14.72        49.0         0.02041      43.254       43.254       
14.74        37.0         0.02703      43.178       43.173       
14.76        47.0         0.02128      43.097       43.092       
14.78        53.0         0.01887      43.019       43.011       
14.8         43.0         0.02326      42.938       42.931       
14.82        39.0         0.02564      42.858       42.851       
14.84        47.0         0.02128      42.778       42.771       
14.86        43.0         0.02326      42.699       42.691       
14.88        50.0         0.02         42.62        42.612       
14.9         42.0         0.02381      42.54        42.533       
14.92        39.0         0.02564      42.462       42.454       
14.94        39.0         0.02564      42.383       42.375       
14.96        32.0         0.03125      42.305       42.297       
14.98        36.0         0.02778      42.227       42.219       
15.0         43.0         0.02326      42.149       42.141       
15.02        59.0         0.01695      42.072       42.063       
15.04        43.0         0.02326      41.995       41.986       
15.06        44.0         0.02273      41.918       41.909       
15.08        46.0         0.02174      41.841       41.832       
15.1         44.0         0.02273      41.765       41.756       
15.12        39.0         0.02564      41.688       41.679       
15.14        28.0         0.03571      41.612       41.603       
15.16        39.0         0.02564      41.537       41.527       
15.18        36.0         0.02778      41.461       41.452       
15.2         38.0         0.02632      41.386       41.377       
15.22        38.0         0.02632      41.311       41.302       
15.24        51.0         0.01961      41.237       41.227       
15.26        42.0         0.02381      41.162       41.152       
15.28        39.0         0.02564      41.088       41.078       
15.3         38.0         0.02632      41.014       41.004       
15.32        42.0         0.02381      40.94        40.93        
15.34        34.0         0.02941      40.867       40.856       
15.36        38.0         0.02632      40.794       40.783       
15.38        32.0         0.03125      40.721       40.71        
15.4         47.0         0.02128      40.648       40.637       
15.42        40.0         0.025        40.576       40.565       
15.44        37.0         0.02703      40.503       40.492       
15.46        38.0         0.02632      40.432       40.42        
15.48        43.0         0.02326      40.36        40.348       
15.5         42.0         0.02381      40.288       40.277       
15.52        40.0         0.025        40.217       40.205       
15.54        28.0         0.03571      40.146       40.134       
15.56        40.0         0.025        40.075       40.063       
15.58        43.0         0.02326      40.005       39.993       
15.6         43.0         0.02326      39.935       39.922       
15.62        60.0         0.01667      39.865       39.852       
15.64        39.0         0.02564      39.795       39.782       
15.66        33.0         0.0303       39.725       39.712       
15.68        38.0         0.02632      39.656       39.643       
15.7         34.0         0.02941      39.587       39.573       
15.72        49.0         0.02041      39.518       39.504       
15.74        43.0         0.02326      39.45        39.436       
15.76        38.0         0.02632      39.381       39.367       
15.78        30.0         0.03333      39.313       39.299       
15.8         37.0         0.02703      39.245       39.231       
15.82        50.0         0.02         39.178       39.163       
15.84        40.0         0.025        39.11        39.095       
15.86        37.0         0.02703      39.043       39.028       
15.88        34.0         0.02941      38.976       38.961       
15.9         32.0         0.03125      38.909       38.894       
15.92        38.0         0.02632      38.843       38.827       
15.94        49.0         0.02041      38.777       38.76        
15.96        43.0         0.02326      38.711       38.694       
15.98        32.0         0.03125      38.645       38.628       
16.0         40.0         0.025        38.579       38.562       
16.02        44.0         0.02273      38.514       38.497       
16.04        42.0         0.02381      38.449       38.431       
16.06        49.0         0.02041      38.384       38.366       
16.08        30.0         0.03333      38.32        38.301       
16.1         40.0         0.025        38.255       38.236       
16.12        39.0         0.02564      38.191       38.172       
16.14        37.0         0.02703      38.127       38.108       
16.16        38.0         0.02632      38.063       38.044       
16.18        36.0         0.02778      38.0         37.98        
16.2         43.0         0.02326      37.937       37.916       
16.22        47.0         0.02128      37.874       37.853       
16.24        42.0         0.02381      37.811       37.789       
16.26        38.0         0.02632      37.748       37.727       
16.28        40.0         0.025        37.686       37.664       
16.3         39.0         0.02564      37.624       37.601       
16.32        43.0         0.02326      37.562       37.539       
16.34        43.0         0.02326      37.501       37.477       
16.36        37.0         0.02703      37.439       37.415       
16.38        32.0         0.03125      37.378       37.353       
16.4         47.0         0.02128      37.317       37.292       
16.42        36.0         0.02778      37.256       37.231       
16.44        39.0         0.02564      37.196       37.169       
16.46        31.0         0.03226      37.136       37.109       
16.48        34.0         0.02941      37.076       37.048       
16.5         29.0         0.03448      37.016       36.988       
16.52        39.0         0.02564      36.956       36.927       
16.54        31.0         0.03226      36.897       36.867       
16.56        31.0         0.03226      36.838       36.808       
16.58        60.0         0.01667      36.779       36.748       
16.6         30.0         0.03333      36.72        36.689       
16.62        49.0         0.02041      36.662       36.63        
16.64        34.0         0.02941      36.604       36.571       
16.66        38.0         0.02632      36.546       36.512       
16.68        32.0         0.03125      36.488       36.453       
16.7         36.0         0.02778      36.431       36.395       
16.72        29.0         0.03448      36.373       36.337       
