"Histogram","PWDR kk_4"
"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: Polariz.",      0.70
"Instparm: Azimuth",      0.00
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: U",      2.00
"Instparm: V",     -2.00
"Instparm: W",      5.00
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Source","CuKa"
"Samparm: InstrName",
"Samparm: Scale",      1.00
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
5.58023,0,1,0,0,0.397076
5.58223,0,1,0,0,0.397218
5.58423,0,1,0,0,0.39736
5.58623,0,1,0,0,0.397502
5.58824,0,1,0,0,0.397645
5.59024,0,1,0,0,0.397787
5.59224,0,1,0,0,0.397929
5.59424,0,1,0,0,0.398072
5.59624,0,1,0,0,0.398214
5.59824,0,1,0,0,0.398356
5.60024,0,1,0,0,0.398498
5.60224,0,1,0,0,0.398641
5.60424,0,1,0,0,0.398783
5.60624,0,1,0,0,0.398925
5.60824,0,1,0,0,0.399067
5.61024,0,1,0,0,0.39921
5.61224,0,1,0,0,0.399352
5.61425,0,1,0,0,0.399494
5.61625,0,1,0,0,0.399636
5.61825,0,1,0,0,0.399779
5.62025,0,1,0,0,0.399921
5.62225,0,1,0,0,0.400063
5.62425,0,1,0,0,0.400205
5.62625,0,1,0,0,0.400348
5.62825,0,1,0,0,0.40049
5.63025,0,1,0,0,0.400632
5.63225,0,1,0,0,0.400774
5.63425,0,1,0,0,0.400917
5.63625,0,1,0,0,0.401059
5.63826,0,1,0,0,0.401201
5.64026,0,1,0,0,0.401343
5.64226,0,1,0,0,0.401486
5.64426,0,1,0,0,0.401628
5.64626,0,1,0,0,0.40177
5.64826,0,1,0,0,0.401912
5.65026,0,1,0,0,0.402055
5.65226,0,1,0,0,0.402197
5.65426,0,1,0,0,0.402339
5.65626,0,1,0,0,0.402481
5.65826,0,1,0,0,0.402624
5.66026,0,1,0,0,0.402766
5.66226,0,1,0,0,0.402908
5.66427,0,1,0,0,0.40305
5.66627,0,1,0,0,0.403193
5.66827,0,1,0,0,0.403335
5.67027,0,1,0,0,0.403477
5.67227,0,1,0,0,0.40362
5.67427,0,1,0,0,0.403762
5.67627,0,1,0,0,0.403904
5.67827,0,1,0,0,0.404046
5.68027,0,1,0,0,0.404189
5.68227,0,1,0,0,0.404331
5.68427,0,1,0,0,0.404473
5.68627,0,1,0,0,0.404615
5.68828,0,1,0,0,0.404758
5.69028,0,1,0,0,0.4049
5.69228,0,1,0,0,0.405042
5.69428,0,1,0,0,0.405184
5.69628,0,1,0,0,0.405327
5.69828,0,1,0,0,0.405469
5.70028,0,1,0,0,0.405611
5.70228,0,1,0,0,0.405753
5.70428,0,1,0,0,0.405896
5.70628,0,1,0,0,0.406038
5.70828,0,1,0,0,0.40618
5.71028,0,1,0,0,0.406322
5.71228,0,1,0,0,0.406465
5.71429,0,1,0,0,0.406607
5.71629,0,1,0,0,0.406749
5.71829,0,1,0,0,0.406891
5.72029,0,1,0,0,0.407034
5.72229,0,1,0,0,0.407176
5.72429,0,1,0,0,0.407318
5.72629,0,1,0,0,0.40746
5.72829,0,1,0,0,0.407603
5.73029,0,1,0,0,0.407745
5.73229,0,1,0,0,0.407887
5.73429,0,1,0,0,0.408029
5.73629,0,1,0,0,0.408172
5.7383,0,1,0,0,0.408314
5.7403,0,1,0,0,0.408456
5.7423,0,1,0,0,0.408598
5.7443,0,1,0,0,0.408741
5.7463,0,1,0,0,0.408883
5.7483,0,1,0,0,0.409025
5.7503,0,1,0,0,0.409167
5.7523,0,1,0,0,0.40931
5.7543,0,1,0,0,0.409452
5.7563,0,1,0,0,0.409594
5.7583,0,1,0,0,0.409736
5.7603,0,1,0,0,0.409879
5.7623,0,1,0,0,0.410021
5.76431,0,1,0,0,0.410163
5.76631,0,1,0,0,0.410305
5.76831,0,1,0,0,0.410448
5.77031,0,1,0,0,0.41059
5.77231,0,1,0,0,0.410732
5.77431,0,1,0,0,0.410874
5.77631,0,1,0,0,0.411017
5.77831,0,1,0,0,0.411159
5.78031,0,1,0,0,0.411301
5.78231,0,1,0,0,0.411443
5.78431,0,1,0,0,0.411586
5.78631,0,1,0,0,0.411728
5.78832,0,1,0,0,0.41187
5.79032,0,1,0,0,0.412012
5.79232,0,1,0,0,0.412155
5.79432,0,1,0,0,0.412297
5.79632,0,1,0,0,0.412439
5.79832,0,1,0,0,0.412581
5.80032,0,1,0,0,0.412724
5.80232,0,1,0,0,0.412866
5.80432,0,1,0,0,0.413008
5.80632,0,1,0,0,0.41315
5.80832,0,1,0,0,0.413292
5.81032,0,1,0,0,0.413435
5.81232,0,1,0,0,0.413577
5.81433,0,1,0,0,0.413719
5.81633,0,1,0,0,0.413861
5.81833,0,1,0,0,0.414004
5.82033,0,1,0,0,0.414146
5.82233,0,1,0,0,0.414288
5.82433,0,1,0,0,0.41443
5.82633,0,1,0,0,0.414573
5.82833,0,1,0,0,0.414715
5.83033,0,1,0,0,0.414857
5.83233,0,1,0,0,0.414999
5.83433,0,1,0,0,0.415142
5.83633,0,1,0,0,0.415284
5.83834,0,1,0,0,0.415426
5.84034,0,1,0,0,0.415568
5.84234,0,1,0,0,0.415711
5.84434,0,1,0,0,0.415853
5.84634,0,1,0,0,0.415995
5.84834,0,1,0,0,0.416137
5.85034,0,1,0,0,0.41628
5.85234,0,1,0,0,0.416422
5.85434,0,1,0,0,0.416564
5.85634,0,1,0,0,0.416706
5.85834,0,1,0,0,0.416849
5.86034,0,1,0,0,0.416991
5.86234,0,1,0,0,0.417133
5.86435,0,1,0,0,0.417275
5.86635,0,1,0,0,0.417418
5.86835,0,1,0,0,0.41756
5.87035,0,1,0,0,0.417702
5.87235,0,1,0,0,0.417844
5.87435,0,1,0,0,0.417987
5.87635,0,1,0,0,0.418129
5.87835,0,1,0,0,0.418271
5.88035,0,1,0,0,0.418413
5.88235,0,1,0,0,0.418555
5.88435,0,1,0,0,0.418698
5.88635,0,1,0,0,0.41884
5.88836,0,1,0,0,0.418982
5.89036,0,1,0,0,0.419124
5.89236,0,1,0,0,0.419267
5.89436,0,1,0,0,0.419409
5.89636,0,1,0,0,0.419551
5.89836,0,1,0,0,0.419693
5.90036,0,1,0,0,0.419836
5.90236,0,1,0,0,0.419978
5.90436,0,1,0,0,0.42012
5.90636,0,1,0,0,0.420262
5.90836,0,1,0,0,0.420405
5.91036,0,1,0,0,0.420547
5.91236,0,1,0,0,0.420689
5.91437,0,1,0,0,0.420831
5.91637,0,1,0,0,0.420974
5.91837,0,1,0,0,0.421116
5.92037,0,1,0,0,0.421258
5.92237,0,1,0,0,0.4214
5.92437,0,1,0,0,0.421543
5.92637,0,1,0,0,0.421685
5.92837,0,1,0,0,0.421827
5.93037,0,1,0,0,0.421969
5.93237,0,1,0,0,0.422111
5.93437,0,1,0,0,0.422254
5.93637,0,1,0,0,0.422396
5.93838,0,1,0,0,0.422538
5.94038,0,1,0,0,0.42268
5.94238,0,1,0,0,0.422823
5.94438,0,1,0,0,0.422965
5.94638,0,1,0,0,0.423107
5.94838,0,1,0,0,0.423249
5.95038,0,1,0,0,0.423392
5.95238,0,1,0,0,0.423534
5.95438,0,1,0,0,0.423676
5.95638,0,1,0,0,0.423818
5.95838,0,1,0,0,0.423961
5.96038,0,1,0,0,0.424103
5.96238,0,1,0,0,0.424245
5.96439,0,1,0,0,0.424387
5.96639,0,1,0,0,0.424529
5.96839,0,1,0,0,0.424672
5.97039,0,1,0,0,0.424814
5.97239,0,1,0,0,0.424956
5.97439,0,1,0,0,0.425098
5.97639,0,1,0,0,0.425241
5.97839,0,1,0,0,0.425383
5.98039,0,1,0,0,0.425525
5.98239,0,1,0,0,0.425667
5.98439,0,1,0,0,0.42581
5.98639,0,1,0,0,0.425952
5.9884,0,1,0,0,0.426094
5.9904,0,1,0,0,0.426236
5.9924,0,1,0,0,0.426379
5.9944,0,1,0,0,0.426521
5.9964,0,1,0,0,0.426663
5.9984,0,1,0,0,0.426805
6.0004,0,1,0,0,0.426947
6.0024,0,1,0,0,0.42709
6.0044,0,1,0,0,0.427232
6.0064,0,1,0,0,0.427374
6.0084,0,1,0,0,0.427516
6.0104,0,1,0,0,0.427659
6.0124,0,1,0,0,0.427801
6.01441,0,1,0,0,0.427943
6.01641,0,1,0,0,0.428085
6.01841,0,1,0,0,0.428228
6.02041,0,1,0,0,0.42837
6.02241,0,1,0,0,0.428512
6.02441,0,1,0,0,0.428654
6.02641,0,1,0,0,0.428796
6.02841,0,1,0,0,0.428939
6.03041,0,1,0,0,0.429081
6.03241,0,1,0,0,0.429223
6.03441,0,1,0,0,0.429365
6.03641,0,1,0,0,0.429508
6.03842,0,1,0,0,0.42965
6.04042,0,1,0,0,0.429792
6.04242,0,1,0,0,0.429934
6.04442,0,1,0,0,0.430077
6.04642,0,1,0,0,0.430219
6.04842,0,1,0,0,0.430361
6.05042,0,1,0,0,0.430503
6.05242,0,1,0,0,0.430645
6.05442,0,1,0,0,0.430788
6.05642,0,1,0,0,0.43093
6.05842,0,1,0,0,0.431072
6.06042,0,1,0,0,0.431214
6.06242,0,1,0,0,0.431357
6.06443,0,1,0,0,0.431499
6.06643,0,1,0,0,0.431641
6.06843,0,1,0,0,0.431783
6.07043,0,1,0,0,0.431926
6.07243,0,1,0,0,0.432068
6.07443,0,1,0,0,0.43221
6.07643,0,1,0,0,0.432352
6.07843,0,1,0,0,0.432494
6.08043,0,1,0,0,0.432637
6.08243,0,1,0,0,0.432779
6.08443,0,1,0,0,0.432921
6.08643,0,1,0,0,0.433063
6.08844,0,1,0,0,0.433206
6.09044,0,1,0,0,0.433348
6.09244,0,1,0,0,0.43349
6.09444,0,1,0,0,0.433632
6.09644,0,1,0,0,0.433775
6.09844,0,1,0,0,0.433917
6.10044,0,1,0,0,0.434059
6.10244,0,1,0,0,0.434201
6.10444,0,1,0,0,0.434343
6.10644,0,1,0,0,0.434486
6.10844,0,1,0,0,0.434628
6.11044,0,1,0,0,0.43477
6.11244,0,1,0,0,0.434912
6.11445,0,1,0,0,0.435055
6.11645,0,1,0,0,0.435197
6.11845,0,1,0,0,0.435339
6.12045,0,1,0,0,0.435481
6.12245,0,1,0,0,0.435623
6.12445,0,1,0,0,0.435766
6.12645,0,1,0,0,0.435908
6.12845,0,1,0,0,0.43605
6.13045,0,1,0,0,0.436192
6.13245,0,1,0,0,0.436335
6.13445,0,1,0,0,0.436477
6.13645,0,1,0,0,0.436619
6.13846,0,1,0,0,0.436761
6.14046,0,1,0,0,0.436903
6.14246,0,1,0,0,0.437046
6.14446,0,1,0,0,0.437188
6.14646,0,1,0,0,0.43733
6.14846,0,1,0,0,0.437472
6.15046,0,1,0,0,0.437615
6.15246,0,1,0,0,0.437757
6.15446,0,1,0,0,0.437899
6.15646,0,1,0,0,0.438041
6.15846,0,1,0,0,0.438183
6.16046,0,1,0,0,0.438326
6.16246,0,1,0,0,0.438468
6.16447,0,1,0,0,0.43861
6.16647,0,1,0,0,0.438752
6.16847,0,1,0,0,0.438895
6.17047,0,1,0,0,0.439037
6.17247,0,1,0,0,0.439179
6.17447,0,1,0,0,0.439321
6.17647,0,1,0,0,0.439463
6.17847,0,1,0,0,0.439606
6.18047,0,1,0,0,0.439748
6.18247,0,1,0,0,0.43989
6.18447,0,1,0,0,0.440032
6.18647,0,1,0,0,0.440175
6.18848,0,1,0,0,0.440317
6.19048,0,1,0,0,0.440459
6.19248,0,1,0,0,0.440601
6.19448,0,1,0,0,0.440743
6.19648,0,1,0,0,0.440886
6.19848,0,1,0,0,0.441028
6.20048,0,1,0,0,0.44117
6.20248,0,1,0,0,0.441312
6.20448,0,1,0,0,0.441455
6.20648,0,1,0,0,0.441597
6.20848,0,1,0,0,0.441739
6.21048,0,1,0,0,0.441881
6.21248,0,1,0,0,0.442023
6.21449,0,1,0,0,0.442166
6.21649,0,1,0,0,0.442308
6.21849,0,1,0,0,0.44245
6.22049,0,1,0,0,0.442592
6.22249,0,1,0,0,0.442735
6.22449,0,1,0,0,0.442877
6.22649,0,1,0,0,0.443019
6.22849,0,1,0,0,0.443161
6.23049,0,1,0,0,0.443303
6.23249,0,1,0,0,0.443446
6.23449,0,1,0,0,0.443588
6.23649,0,1,0,0,0.44373
6.2385,0,1,0,0,0.443872
6.2405,0,1,0,0,0.444014
6.2425,0,1,0,0,0.444157
6.2445,0,1,0,0,0.444299
6.2465,0,1,0,0,0.444441
6.2485,0,1,0,0,0.444583
6.2505,0,1,0,0,0.444726
6.2525,0,1,0,0,0.444868
6.2545,0,1,0,0,0.44501
6.2565,0,1,0,0,0.445152
6.2585,0,1,0,0,0.445294
6.2605,0,1,0,0,0.445437
6.26251,0,1,0,0,0.445579
6.26451,0,1,0,0,0.445721
6.26651,0,1,0,0,0.445863
6.26851,0,1,0,0,0.446006
6.27051,0,1,0,0,0.446148
6.27251,0,1,0,0,0.44629
6.27451,0,1,0,0,0.446432
6.27651,0,1,0,0,0.446574
6.27851,0,1,0,0,0.446717
6.28051,0,1,0,0,0.446859
6.28251,0,1,0,0,0.447001
6.28451,0,1,0,0,0.447143
6.28651,0,1,0,0,0.447285
6.28852,0,1,0,0,0.447428
6.29052,0,1,0,0,0.44757
6.29252,0,1,0,0,0.447712
6.29452,0,1,0,0,0.447854
6.29652,0,1,0,0,0.447997
6.29852,0,1,0,0,0.448139
6.30052,0,1,0,0,0.448281
6.30252,0,1,0,0,0.448423
6.30452,0,1,0,0,0.448565
6.30652,0,1,0,0,0.448708
6.30852,0,1,0,0,0.44885
6.31052,0,1,0,0,0.448992
6.31253,0,1,0,0,0.449134
6.31453,0,1,0,0,0.449276
6.31653,0,1,0,0,0.449419
